usage_start,product_code,usage_type,resource_id,tier,nodepool,unblended_cost_usd
2026-09-04T13:00:00Z,AmazonS3,EUC1-Requests-Tier2,qdrant-backups-simple-rag-ef15fcb37dd0,shared,,4.3e-07
2026-09-04T13:00:00Z,AmazonS3,EUC1-Requests-Tier2,qdrant-backups-simple-rag-ef15fcb37dd0,shared,,4.3e-07
2026-09-04T13:00:00Z,AmazonCloudWatch,EUC1-VendedLog-Bytes,arn:aws:logs:eu-central-1:790348267926:log-group:/aws/eks/simple-rag-cluster/cluster,,,0.0
2026-09-04T13:00:00Z,awskms,eu-central-1-KMS-Requests,arn:aws:kms:eu-central-1:790348267926:key/c963afa3-e015-497a-a094-9355cc41ca2d,,,0.0
2026-09-04T13:00:00Z,awskms,eu-central-1-KMS-Requests,arn:aws:kms:eu-central-1:790348267926:key/c963afa3-e015-497a-a094-9355cc41ca2d,,,0.0
2026-09-04T13:00:00Z,awskms,eu-central-1-KMS-Requests,arn:aws:kms:eu-central-1:790348267926:key/a45ca597-dc2a-44a0-9199-0ac85c067d09,,,0.0
2026-09-04T13:00:00Z,awskms,eu-central-1-KMS-Requests,arn:aws:kms:eu-central-1:790348267926:key/c963afa3-e015-497a-a094-9355cc41ca2d,,,0.0
2026-09-04T13:00:00Z,awskms,eu-central-1-KMS-Requests,arn:aws:kms:eu-central-1:790348267926:key/a45ca597-dc2a-44a0-9199-0ac85c067d09,,,0.0
2026-09-04T13:00:00Z,awskms,eu-central-1-KMS-Requests,arn:aws:kms:eu-central-1:790348267926:key/a45ca597-dc2a-44a0-9199-0ac85c067d09,,,0.0
2026-09-04T13:00:00Z,awskms,eu-central-1-KMS-Requests,*,,,0.0
2026-09-04T13:00:00Z,awskms,eu-central-1-KMS-Requests,arn:aws:kms:eu-central-1:790348267926:key/a45ca597-dc2a-44a0-9199-0ac85c067d09,,,0.0
2026-09-04T13:00:00Z,AWSGlue,USE1-Catalog-Request,,,,0.0
2026-09-04T13:00:00Z,AmazonS3,DataTransfer-Out-Bytes,,,,0.0
2026-09-04T13:00:00Z,AWSELB,EUC1-APS1-AWS-In-Bytes,arn:aws:elasticloadbalancing:eu-central-1:790348267926:loadbalancer/net/k8s-ragplatf-ciliumga-e24be0dc76/e249bbc0f0ca55f7,,,0.0
2026-09-04T13:00:00Z,AWSELB,EUC1-USE1-AWS-In-Bytes,arn:aws:elasticloadbalancing:eu-central-1:790348267926:loadbalancer/net/k8s-ragplatf-ciliumga-e24be0dc76/e249bbc0f0ca55f7,,,0.0
2026-09-04T13:00:00Z,AWSELB,EUC1-USE2-AWS-In-Bytes,arn:aws:elasticloadbalancing:eu-central-1:790348267926:loadbalancer/net/k8s-ragplatf-ciliumga-e24be0dc76/e249bbc0f0ca55f7,,,0.0
2026-09-04T13:00:00Z,AWSELB,EUC1-DataTransfer-In-Bytes,arn:aws:elasticloadbalancing:eu-central-1:790348267926:loadbalancer/net/k8s-ragplatf-ciliumga-e24be0dc76/e249bbc0f0ca55f7,,,0.0
2026-09-04T13:00:00Z,AWSELB,EUC1-DataTransfer-In-Bytes,arn:aws:elasticloadbalancing:eu-central-1:790348267926:loadbalancer/net/k8s-ragplatf-ciliumga-e24be0dc76/e249bbc0f0ca55f7,,,0.0
2026-09-04T13:00:00Z,AWSELB,EUC1-DataTransfer-In-Bytes,arn:aws:elasticloadbalancing:eu-central-1:790348267926:loadbalancer/net/k8s-ragplatf-ciliumga-e24be0dc76/e249bbc0f0ca55f7,,,0.0
2026-09-04T13:00:00Z,AWSELB,EUC1-DataTransfer-In-Bytes,arn:aws:elasticloadbalancing:eu-central-1:790348267926:loadbalancer/net/k8s-ragplatf-ciliumga-e24be0dc76/e249bbc0f0ca55f7,,,0.0
2026-09-04T13:00:00Z,AWSELB,EUC1-DataTransfer-In-Bytes,arn:aws:elasticloadbalancing:eu-central-1:790348267926:loadbalancer/net/k8s-ragplatf-ciliumga-e24be0dc76/e249bbc0f0ca55f7,,,0.0
2026-09-04T13:00:00Z,AWSELB,EUC1-DataTransfer-In-Bytes,arn:aws:elasticloadbalancing:eu-central-1:790348267926:loadbalancer/net/k8s-ragplatf-ciliumga-e24be0dc76/e249bbc0f0ca55f7,,,0.0
2026-09-04T13:00:00Z,AWSELB,EUC1-DataTransfer-In-Bytes,arn:aws:elasticloadbalancing:eu-central-1:790348267926:loadbalancer/net/k8s-ragplatf-ciliumga-e24be0dc76/e249bbc0f0ca55f7,,,0.0
2026-09-04T13:00:00Z,AWSELB,EUC1-DataTransfer-In-Bytes,arn:aws:elasticloadbalancing:eu-central-1:790348267926:loadbalancer/net/k8s-ragplatf-ciliumga-e24be0dc76/e249bbc0f0ca55f7,,,0.0
2026-09-04T13:00:00Z,AWSELB,EUC1-DataTransfer-In-Bytes,arn:aws:elasticloadbalancing:eu-central-1:790348267926:loadbalancer/net/k8s-ragplatf-ciliumga-e24be0dc76/e249bbc0f0ca55f7,,,0.0
2026-09-04T13:00:00Z,AWSELB,EUC1-DataTransfer-In-Bytes,arn:aws:elasticloadbalancing:eu-central-1:790348267926:loadbalancer/net/k8s-ragplatf-ciliumga-e24be0dc76/e249bbc0f0ca55f7,,,0.0
2026-09-04T13:00:00Z,AWSELB,EUC1-DataTransfer-In-Bytes,arn:aws:elasticloadbalancing:eu-central-1:790348267926:loadbalancer/net/k8s-ragplatf-ciliumga-e24be0dc76/e249bbc0f0ca55f7,,,0.0
2026-09-04T13:00:00Z,AWSELB,EUC1-DataTransfer-In-Bytes,arn:aws:elasticloadbalancing:eu-central-1:790348267926:loadbalancer/net/k8s-ragplatf-ciliumga-e24be0dc76/e249bbc0f0ca55f7,,,0.0
2026-09-04T13:00:00Z,AWSELB,EUC1-DataTransfer-In-Bytes,arn:aws:elasticloadbalancing:eu-central-1:790348267926:loadbalancer/net/k8s-ragplatf-ciliumga-e24be0dc76/e249bbc0f0ca55f7,,,0.0
